,Sentence
8242,didn t fit
3583,sharp looking
6525,just not the same as other ua shoes i have
8334,came small and tight
4526,fantastic shoes
6985,nice
4411,very attractive and comfortable
5085,sole started peeling off after days
2610,very comfortable but not right for my feet
2922,comfy but not enough arch support
1267,nice shoes
4177,fits small
2818,excellent shoes
8454,size dilemma
7130,so comfy
3408,freaky fast shipping
6066,so far so good would recommend
8553,disappointed
1975,fit
3625,wide width perfection
170,if you wear nike size down
1490,no way a extra wide
6544,comfy but not right for running for me anyway
7944,only shoes husband wears
5179,perfect shoes
8068,awesome
4175,i paid did not fit sent back
8183,my new shoes are working great
5672,adorable shoes but zero support
2588,nice looking sneaker
1683,great fit and comfort
7802,great shoes
6193,excellent shoes
4912,bad pair of shoes
7381,will look for alternative brand
3344,ok
7551,fits nice but not a great standing shoe
456,pretty good for price
5631,comfortable but appears to get damaged easily
3384,excellent narrow shoe
7942,laces could be improved
3140,pretty disappointing
5849,the shoes was not good for my wife
1610,it ran half size smaller than usual i threw away the box i’d like to go up in size to
2713,the color is green but not very green but these are wonderful
61,cloud super comfortable fit perfect
8082,great shoe extremely comfortable
4613,comfortable
8175,gift for my hubby
7497,these are fake rose gold swoosh
5657,wierd design for new balance
904,wish i could exchange
933,adidas has changed their sizes
6600,bad batch
5293,most comfortable shoe
6256,no more nikes for me
7480,fake
699,are these real
4014,puma sneaker
5193,unbelievably comfortable
1713,it s what you d expect from new balance a comfortable shoe
1376,today is the first day i have worn them
8361,not for me
1463,too small to true
1493,terrible
5783,to small
6466,perfecto
4524,comfort out of the box and great daily runner
735,cheap uncomfortable and not that cute
7545,to small
6970,ugh
2939,good walking shoes but dirt gets stuck very easily and hard to remove
6081,light comfortable and sexy athletic shoes
6005,too hard
5815,horrible shoes
2315,it did not have enough support i returned it
7869,very happy that i switched
4268,fit ok one small problem the left shoe
5348,love these
8051,fits fred flintstone feet
2647,form and function
4082,ehhh
1116,good shoe
2865,comfortable and durable
3705,look feel and fit great
633,quality is not consistent with other adidas shoes
7666,one star
5466,extremely comfortable
6416,comfortable
8606,poor quality
3253,comfortable but no support
4371,great shoes must purchase
7643,shoes
5567,comfort
7940,nice and cushy
1492,uncomfortable and hard
7880,took pain out of the front shin by helping me step heel to toe more easily so light
1006,great shoes
6900,shoes did not match picture
6220,comfortable
8602,poor quality shoe
5269,happy feet 😌
1707,i love the extra wide fit
8076,great shoe
7511,questionable nike
3378,great walking shoes
8255,comfortable grippy poor quality
2025,comfort
1545,nice looking but
3876,ordered two of the same not
2449,will never buy another brand again
1556,garbage
7975,good shoe for the money to use as cross trainer
1834,nice looking shoe
8489,hated it
5968,cute but run a little small
3521,second pair
3569,fits like a wide shoe should very comfortable
5970,used them once
7170,nice
4481,brooks user
5532,a little wide
3335,no arch support
3931,messed up my right knee from running
4240,uncomfortable
1799,good buy
3289,nothing like the s
1405,great value for money
1956,great shoes
6990,purchased for traveling walking very impressed
6668,not good with orthotics
4485,great shoe for miles
3542,my sweet pummass
5746,terrible
5072,very uncomfortable
3618,good value
5191,love these shoes
5228,comfy shoes
4053,a bit small
6253,love them
2949,good depending on your foot shape
1729,it s a running shoe but good for a regular workout
8578,too narrow
8118,a quality shoe everytime
6429,size run small
1369,great support and comfort
1551,they run small and i don’t mean fast but to small
2399,fairly comfortable but only with added inserts
7356,light weight
662,great at first but after a month there is no support or comfort
1379,an upgrade from wearing nike
3644,why
8032,laces laces laces
6342,very comfortable
6805,waste of money
8018,good shoe for the money
5805,not the sneaker for me
3685,nice shoes
7270,just what we wanted
7705,knock offs
1705,new balance sneakers quality and good looking
6788,sizes run small
5207,so comfy
5087,shoes run a half size too small
1484,great fitting and comfortable with no durability
3114,nice shoes but not the asics quality i hoped for
4659,brooks
2264,they squeak
2771,will order again
1437,arch and sturdy fit
3947,not the same shoe
2769,asics fan
8349,they didn t fit
5489,look great and well made
1831,barely adequate
6533,just ok
3686,try on at shoe store before ordering you want the right size and to find out if you feet are wide
5475,love the shoe mostly
4734,good quality shoes
6536,weird feeling when i run walk
3888,ehh
8362,fell apart after hikes
6702,terrible quality
4519,whata shoe
7568,i was so happy to find red tennis shoes until i opened the
7422,i gotta have it
6392,perfect fit
6274,comfortable
4740,best shoe
8162,would have preferred a narrower fit on the front
3502,fit as described and look great
6750,falling apart after weeks
1996,happy buyer
1568,not great
5956,not for me
273,great
6832,pattern did not match
5081,only brooks i wouldn t buy
5041,i would like to return them but already threw the box
4140,didn t love them as much as i wanted too
6957,feels a little small
8581,too small
2667,best running shoe ever
3236,no arch support
8410,gel venture poor quality
5687,great looking but not for working out
7710,too small
5822,fake nb
3789,perfect fit
4402,don t do anything with quick lateral movement
7658,too narrow
5043,poorly made
6607,may last months
3863,not a great workout shoe
6079,good mileage
6590,quality issue
6612,update
742,cute but not practical
2184,not for me
3720,buen producto
2495,i love the shoes now to see if my left foot like them back
4898,fell apart almost right away
5279,they are true to size
877,not comfortable at all
3743,sturdy shoes
147,huggable lovable comfortable awesomeness
6210,best pair of shoes i ve owned
1321,grandsons christmas present
6116,great shoes comfortable
2007,first pair of new balance shoes and i really like these
3898,sad sad sad
7114,if comfort is important this is the right sneaker
4013,good fit and quality
7668,pain inducing shoes
7723,these shoes are great
7348,good quality
8544,very comfortable but my feet get too hot
8605,will have holes
2646,love the soul disenchanted with the laces
3430,he likes them
672,tread wore out
323,order a size down
2388,great walking or running trail shoes
5932,shoe is not true to size too big
6445,great sneaker for the price
301,great shoes
4823,true to size
7675,two stars
8595,not as good as the previous version
6014,cushioned shoe great for outdoor activities slightly wide
7932,love these trainers
5411,the best sneaker
6208,very comfortable perfect support for running
5460,great shoes
2274,soles not very forgiving
1530,fake
3304,falling apart after wears
4682,noticeable improvement over previous ghosts
903,very uncomfortable
7788,comfort comfort and comfort
5973,shoe lace broken undone
1584,poor quality
8452,asics changed the fit
7530,security tag left on shoe
7156,great fit
7276,this is my nd pair fit great
3452,great value
6783,very think sole
1942,good value
8050,replacement was identical as previous order
8550,normal cheap shoes
8157,great shoes
2162,size inconsistency
4574,most comfortable tennis shoes i ve owned in along time
2294,love my nb shoes but
2693,tight in the toes
2322,not well constructed
1961,great product
2125,love theserunning shoes
3622,nunca me quejo de esta marca
6439,they are the best shoes i ve ever owned and i m years old
2364,no durability at all
2296,side of shoe blew out
4258,did not like them
6558,get a size bigger than your regular
5467,very comfortable
6784,used sneakers beware
1873,fit and comfort
7004,walking in clouds
1350,chubby wide feet grab these
714,just ok
2016,comfortable and great fit
3239,extremely uncomfortable shoe
5651,cheaply made or fakes
522,good shoe added an insole
5164,you can purchase nb shoes online and they fit
268,very comfortable but do not hold up for exercising
2942,couldn t return these fast enough
5704,the quality of the sneaker is not good so easy to wear out
2206,how can you order the same new balance men s v and they are different
6531,started to come apart
6291,under armour stars
1312,fits perfectly
5914,not worth the
4317,okay
476,not true to size
1315,as expected
7119,nike shoes tend to look great and feel great
7556,ordered wrong size and cannot return terrible
2099,fits nicely
0,great comfortable shoes
6965,black beauty
2352,didn t fit
4662,brooks ghost great looking shoes
4555,fit and durability
4757,down fall
5385,feel great
1528,wobble and rock should lay flat on floor
938,adidas sneaker
7945,great shoe for teen
7512,tanjun black women shoe
1586,cannot return
